ft	n.s	ns.rt	n.v	seed	ve.fr	ve.mu	ve.sd	sd0.p0	sd0.p1	sd1.p0	sd1.p1	sd2.p0	sd2.p1	sd3.p0	sd3.p1	sd4.p0	sd4.p1	sd5.p0	sd5.p1	sd6.p0	sd6.p1
tck	100	3	512	NL	0.05	0	1	0.0152433942808978	0.00243758927218796	0.0155617208539228	0.00245653278737112	0.0182907301449223	0.00269387953892686	0.0341461045318336	0.00214862069052812	0.0337283895697302	0.000954263678595524	0.0349488326505378	0.000680162036709397	0.0363848452621428	0.000543830746278173
tck	100	3	512	NL	0.05	0	1	0.00304739615137439	0.000133464205865574	0.00292204095518533	0.000127542977737094	0.00295660763941452	0.00013629251874081	0.00328194119919312	0.000151725276318682	0.00544757961986653	0.000198547789736381	0.0102599313459666	0.000186724877416555	0.0177132305299372	0.000198231696123541
tck	100	3	512	NL	0.05	0	1	0.000591950196120461	0.0038145071504061	0.000630965203117229	0.00415125382667814	0.000703671997742128	0.00367745247165574	0.000444203598669812	0.00355522277776488	0.000454872254824101	0.00447074639670486	0.00103730088133946	0.00539409463874174	0.00139521023321065	0.006953897967092
tck	100	3	512	NL	0.05	0	1	0.00170819164042391	0.0134780743017535	0.00172555195300794	0.0134780743017535	0.00148487731412394	0.0137910220880596	0.00143582886197202	0.0214534491967769	0.000727281210304631	0.0222827799170542	0.000417864105793697	0.0245220585808987	0.000592480108156823	0.0259083813089496
tck	100	3	512	NL	0.05	0	1	0.0382892973843533	0.00571305577195536	0.0395804310013487	0.00549112136744889	0.0454127882831843	0.00600117156729452	0.0617322512601154	0.00821586000754504	0.0875124690580988	0.00867010886544339	0.100766818672322	0.00799730925605457	0.122148802846475	0.0078564874065622
tck	100	3	512	NL	0.05	0	1	0.0328089123063735	0.00841476174856148	0.0316660456959086	0.00859732849837314	0.0360356860396522	0.00927413732217119	0.0291478655488382	0.0163582164849199	0.0690431127265632	0.0189930918703396	0.101477303915774	0.029493640950083	0.113483944924381	0.0336621798118096
tck	100	3	512	NL	0.05	0	1	0.00774999434348667	0.000596353892373114	0.00839569678660745	0.00056509895511403	0.00831715666457278	0.000535654693552212	0.0106508432134633	0.000597700901299403	0.0135121380402514	0.00115214582378576	0.0241562027831623	0.00128179372051296	0.0251280464376827	0.000865950526342196
tck	100	3	512	NL	0.05	0	1	0.00614536153950862	0.00875629328988525	0.00617090618287663	0.00902798471408683	0.00618525786181501	0.00945308921883403	0.00742588710562697	0.00870558200732385	0.00726162818538034	0.0100730857936988	0.0051169159567781	0.0117709531124222	0.0057005466653095	0.0149850626222435
tck	100	3	512	NL	0.05	0	1	0.000533305189419631	0.00200526095469977	0.000610875914007769	0.00192888240937183	0.0011070588782498	0.00200118646774772	0.0020808779709055	0.00175618772219654	0.00305692455029316	0.002427785971298	0.00324545298162582	0.00205606484747256	0.00294543046274653	0.00256231772653104
tck	100	3	512	NL	0.05	0	1	0.00515901238152694	0.00372910309528085	0.00524341916747328	0.00377540661465126	0.00623242240573818	0.00475980315430324	0.00889477942856853	0.00386678643132099	0.0210163149907925	0.00264200438269424	0.0338828913091741	0.00187980018120937	0.0339598277501014	0.00193543360188897
tck	100	3	512	NL	0.05	0	1	0.0238706341647921	0.000458755326322446	0.0260649246841452	0.00050463264039069	0.0273631126848526	0.000568892303191459	0.0253838115333656	0.00088421069956035	0.043253636015805	0.000883404040259994	0.078286778862491	0.00136190912609191	0.0688080389212558	0.00311899043003383
tck	100	3	512	NL	0.05	0	1	4.04616771493282e-05	0.000188510244853557	4.03593679956238e-05	0.00018226461376547	4.09735598115857e-05	0.00016709019018557	5.40309022629692e-05	0.000212048043685797	6.06473300734933e-05	0.000429137570561511	5.428647000838e-05	0.0008577175773683	5.3338464637287e-05	0.00117134225363968
tck	100	3	512	NL	0.05	0	1	0.000193016936677726	7.68331360534447e-06	0.000188751283168198	7.44101736427361e-06	0.000118380420120356	7.40877105143145e-06	0.000138152560302363	1.00419039761324e-05	0.000129746013966203	1.52478260668776e-05	0.000138223224145362	1.74263624836968e-05	0.000143866872566512	2.85254512907285e-05
tck	100	3	512	NL	0.05	0	1	0.043239139824395	0.000276660010027241	0.0399314339845613	0.000263502491369749	0.0491599313177489	0.000278657774047231	0.0434007130396169	0.000620669847795186	0.047842054571307	0.00183830364214255	0.0434964368183941	0.00363161579622817	0.0303614657903949	0.00427384334002467
tck	100	3	512	NL	0.05	0	1	0.0142082879600751	0.00137552926568185	0.0149325188752919	0.00137981179859947	0.0142818523649642	0.00165228787185634	0.0207734057412545	0.00159405952759251	0.0126500015410458	0.00284774166609436	0.0137016214249381	0.00378120293171613	0.0148023400908046	0.00313158611868081
tck	100	3	512	NL	0.05	0	1	0.0281268980999907	0.000180073534097547	0.028938010229313	0.000176885928537818	0.0318779951841981	0.000303285640538498	0.0573678719547992	0.000443997540450991	0.0832353811881064	0.000897255918153816	0.0762216997464054	0.000935194869238209	0.0703993380150527	0.00115891836544857
tck	100	3	512	NL	0.05	0	1	0.0141265217359683	0.000227035002788756	0.0134531336498654	0.000235282913438994	0.00990203766874553	0.000233500395508734	0.00988652974635862	0.000448645688232441	0.0217065614617409	0.000526950783254598	0.0226843053209465	0.00110155579548032	0.0303004249912119	0.00129494189669233
tck	100	3	512	NL	0.05	0	1	0.0146259822578296	0.00106566959440957	0.0146112620402703	0.00103365464743177	0.0197035071329987	0.00106983315271703	0.0199652668427659	0.00174538023163984	0.0423566085966413	0.0122147198638372	0.0575653148108286	0.020148404314043	0.0627687779817583	0.0283149439481433
tck	100	3	512	NL	0.05	0	1	0.0105103649177966	0.00165784212499132	0.0117514320608896	0.00161360513109243	0.0158242891440934	0.00167576563563887	0.0182298284120982	0.0023360833688979	0.0186241733280624	0.00721651238566468	0.0223986851210094	0.0205390058883337	0.026681697418886	0.0223993688262711
tck	100	3	512	NL	0.05	0	1	0.0118972838502771	0.000242635037901784	0.0126015998442779	0.000227542062165575	0.0136509798700488	0.000206129740166427	0.0200112199250848	0.00023211410115842	0.00808826637179161	0.00033749074903433	0.00531117459114538	0.000342790228297307	0.00505060860534901	0.000400940016163087
tck	100	3	512	NL	0.05	0	1	0.00428954139032767	0.000819427870613954	0.00448317915780483	0.000813352809891699	0.00492869309871102	0.000816319332027637	0.00442563440514132	0.00100235685792893	0.00665821556132551	0.0031427997445368	0.00535514400105663	0.00766876451469589	0.00588738056740512	0.0125446677261054
tck	100	3	512	NL	0.05	0	1	0.00872173053452696	0.00155557652419536	0.00853260457728156	0.00157319957470359	0.00934508774933185	0.00145531801861032	0.0108311846311923	0.00132583625924121	0.0271503673169569	0.00130565990963016	0.0381642630617849	0.00120354572412484	0.0271732141257188	0.00168107799704198
tck	100	3	512	NL	0.05	0	1	0.00270004633368381	4.80063493624172e-07	0.00280190890866072	4.96514467762665e-07	0.0027052642907146	3.94613526855103e-07	0.0022948536945302	3.25028080228051e-07	0.00172140915400898	1.80232407109848e-07	0.00196320862818311	1.59103174079966e-07	0.00206538113448806	1.24662321909774e-07
tck	100	3	512	NL	0.05	0	1	0.0167299080799814	0.00135702693119832	0.0176550204750079	0.00143703082195956	0.0163290409360926	0.00238292534626705	0.0153408252098634	0.00175432826373989	0.00646648504198877	0.00179330490060348	0.00810713744641889	0.00363171470264556	0.00822625669271215	0.00485475273672398
tck	100	3	512	NL	0.05	0	1	0.0101798946732603	0.0112838550664058	0.0101990747622392	0.0109223311470417	0.011456900145939	0.0117764788108646	0.0116137750235612	0.00942115657422782	0.0172040165240184	0.010242500666215	0.0278656561782374	0.0191892170983883	0.0323292011742317	0.026518876751346
tck	100	3	512	NL	0.05	0	1	0.0286625146856481	0.000195421130832152	0.0287154010130151	0.000188369373915309	0.026071947412344	0.00016153962536225	0.0256664329604135	0.000210994903845352	0.0542566774213896	0.000534289930983145	0.0611575039284107	0.00124003187543542	0.0475127636887738	0.00217779324249068
tck	100	3	512	NL	0.05	0	1	0.028273810482992	0.00014037801068012	0.0288183042380765	0.000150715446151306	0.0267084067647833	0.000170865116563279	0.0346105533660659	0.000389617277856802	0.0293659801923092	0.00113384085776902	0.0291867518044049	0.00272450364474763	0.0288828606747614	0.00339412858702626
tck	100	3	512	NL	0.05	0	1	0.00333529692920287	6.35242581226159e-05	0.00328884000452145	5.8730307513577e-05	0.00323715064663821	5.71380818074063e-05	0.00334672129072811	5.99952968906026e-05	0.00285103484519145	0.000122898797322968	0.00275753840025317	0.000245567890290399	0.00235077563880481	0.000476520917555012
tck	100	3	512	NL	0.05	0	1	0.0029516907733973	0.000328597738365355	0.00328281661959351	0.000313099290430219	0.00369412748935161	0.00031751742181374	0.00330576446742403	0.000325973822416059	0.00228506613411628	0.00050980831346048	0.000766496574762354	0.000594808936770552	0.000521237485787807	0.00069949137020775
tck	100	3	512	NL	0.05	0	1	0.0348432314947669	0.00117365612017872	0.0344491643996886	0.00129399376609318	0.038106062031924	0.000993201302633251	0.0430992903978086	0.000753927077643102	0.0379536269800808	0.000367945332197084	0.0210381570517828	0.000196176730506537	0.0165986624099984	0.000137516330581788
tck	100	3	512	NL	0.05	0	1	0.00789928324433853	0.00460714031637688	0.00797569886797922	0.00457164898651641	0.00790873314139073	0.00521870746296271	0.00826140027668898	0.00504664308348601	0.0132692287541085	0.00615112869171974	0.00590892175948343	0.00452951285459124	0.00445147284427727	0.00473073647970612
tck	100	3	512	NL	0.05	0	1	0.00103118674348468	0.000947299917249289	0.0010143102707012	0.000930641750447436	0.000819865396141872	0.000738175654805273	0.000777834378288711	0.00119921143764878	0.000455639861371981	0.00282085155919343	0.000452624769728183	0.0104593619653791	0.000739429578988648	0.0148212849429756
tck	100	3	512	NL	0.05	0	1	0.00888977951059722	0.000846837361217934	0.00925734495291031	0.000856650855279417	0.00751865970111043	0.000889063060263928	0.0068358966431219	0.00265036362898075	0.00752460475549166	0.00473186625191624	0.0110049908733049	0.00907988914293001	0.0160493875866566	0.0088636300367454
tck	100	3	512	NL	0.05	0	1	0.00858913236720571	0.0085933477722917	0.0092696593140239	0.00855168959787278	0.00914214895311183	0.00816509933030385	0.00863576818740819	0.00855491988904011	0.0162553419121405	0.00557593739542828	0.0204283241642084	0.00578011780530641	0.0192678795506339	0.00571384083479143
tck	100	3	512	NL	0.05	0	1	0.00556962228964064	0.00360039913873855	0.00543605183520812	0.0036115672555177	0.00600642900341075	0.0037612451005623	0.00674100150903501	0.00162481396007452	0.00656480427938222	0.000788155561391779	0.00732166483496766	0.000507345193152986	0.010135854368014	0.00048213664640917
tck	100	3	512	NL	0.05	0	1	0.0158033951470316	0.00289492456122598	0.0156556264541147	0.00274205473008271	0.019851597292406	0.00329579184838358	0.0270249715068058	0.0044870768874723	0.0356137403079265	0.00565060502704695	0.0537134359889642	0.00558791008397286	0.0702855709927923	0.00562896836479021
tck	100	3	512	NL	0.05	0	1	0.00688211512490078	0.00933175477687209	0.00643960171444036	0.0098602795649243	0.00541671731564519	0.00890589565579836	0.00504886722609554	0.0112362665316779	0.00502925326817916	0.00681366568434827	0.00352915521214869	0.0036280943209932	0.00394093526430772	0.00347794834438608
tck	100	3	512	NL	0.05	0	1	0.00487954008764824	0.000126768473152516	0.00454841458595368	0.00013026940955152	0.00513318835782861	0.000181642170788754	0.00717185146350019	0.000180555552690476	0.0112461123703612	0.000355497364010304	0.0107915827021468	0.000313955347189476	0.0100084010315451	0.000273936189283619
tck	100	3	512	NL	0.05	0	1	0.00359057371689253	0.00261418933848179	0.00372570668773953	0.00259875112652086	0.00487619439464293	0.00285978247604102	0.00994983788069659	0.0029503290426327	0.0186518071605319	0.00453115380710667	0.038539787514132	0.00685847926081606	0.0434927653141053	0.00848734776417048
tck	100	3	512	NL	0.05	0	1	0.0023190782694712	0.00198183878289515	0.00230376598142201	0.00201663672956842	0.0030713487209697	0.0019880298766225	0.00277857718257979	0.00163359406121699	0.00311987126543611	0.00104192468826758	0.00644837148061106	0.000788513614101038	0.00761736574705973	0.000531237242686666
tck	100	3	512	NL	0.05	0	1	0.0170477166764901	0.000212397286350363	0.016888440259185	0.000221367641717984	0.0168773444252581	0.000205104107227738	0.0227787469131993	0.000173906170956251	0.0295155524747616	0.000115829159316516	0.0447983289010296	0.000178397744618586	0.0487852671992883	0.000228750440348757
tck	100	3	512	NL	0.05	0	1	0.0153337350018133	0.00167952512713809	0.0160037880887669	0.00172153650255114	0.0145043868307196	0.00205328580438013	0.0149392257580409	0.00277580961179369	0.0127999229258269	0.00326395547421676	0.013784454370108	0.00492795393808121	0.013116916302236	0.00450563068390442
tck	100	3	512	NL	0.05	0	1	6.61790749323377e-05	0.00311282042886174	6.62821378110134e-05	0.0030059751658249	5.60563580375151e-05	0.00229698683532698	0.000105231715228249	0.00296121941412075	0.000227569667578642	0.00919382498470267	0.000893754339537312	0.0169822611511725	0.00135664687651271	0.0191758225032209
tck	100	3	512	NL	0.05	0	1	0.000765127758799222	4.08674589694735e-05	0.000923659831115864	3.79630384785834e-05	0.000741901992628025	3.05022175266512e-05	0.000778820619706799	3.25771241950212e-05	0.000874726479110799	0.000122210170938275	0.00120812628046496	0.000500423052995691	0.00128646337926286	0.00085675057644774
tck	100	3	512	NL	0.05	0	1	0.0107731175057915	0.00163048614283046	0.0110646129085454	0.0016529823367073	0.013111724251005	0.00184671180391049	0.0150263376088288	0.00200210395764588	0.0063790153221277	0.00155915253478689	0.00775888940093572	0.00133878987206926	0.00973789746093723	0.00214784436548388
